Date,Close
2021-01-13,15.350000381469727
2021-01-14,15.100000381469727
2021-01-15,14.649999618530273
2021-01-19,14.130000114440918
2021-01-20,14.100000381469727
2021-01-21,14.630000114440918
2021-01-22,14.9399995803833
2021-01-25,15.079999923706055
2021-01-26,14.930000305175781
2021-01-27,14.600000381469727
2021-01-28,14.420000076293945
2021-01-29,14.829999923706055
2021-02-01,14.800000190734863
2021-02-02,15.380000114440918
2021-02-03,16.920000076293945
2021-02-04,18.200000762939453
2021-02-05,18.709999084472656
2021-02-08,18.719999313354492
2021-02-09,18.5
2021-02-10,18.59000015258789
2021-02-11,18.049999237060547
2021-02-12,18.1200008392334
2021-02-16,19.34000015258789
2021-02-17,19.690000534057617
2021-02-18,18.950000762939453
2021-02-19,18.790000915527344
2021-02-22,18.8700008392334
2021-02-23,18.31999969482422
2021-02-24,20.0
2021-02-25,20.329999923706055
2021-02-26,21.350000381469727
2021-03-01,22.719999313354492
2021-03-02,21.100000381469727
2021-03-03,20.43000030517578
2021-03-04,21.399999618530273
2021-03-05,22.829999923706055
2021-03-08,23.059999465942383
2021-03-09,22.719999313354492
2021-03-10,23.059999465942383
2021-03-11,22.770000457763672
2021-03-12,22.700000762939453
2021-03-15,24.3700008392334
2021-03-16,24.190000534057617
2021-03-17,22.270000457763672
2021-03-18,21.799999237060547
2021-03-19,20.639999389648438
2021-03-22,21.059999465942383
2021-03-23,19.639999389648438
2021-03-24,19.3700008392334
2021-03-25,19.239999771118164
2021-03-26,19.520000457763672
2021-03-29,18.5
2021-03-30,18.709999084472656
2021-03-31,18.540000915527344
2021-04-01,19.600000381469727
2021-04-05,18.59000015258789
2021-04-06,19.530000686645508
2021-04-07,19.6200008392334
2021-04-08,19.579999923706055
2021-04-09,19.559999465942383
2021-04-12,19.920000076293945
2021-04-13,18.350000381469727
2021-04-14,18.799999237060547
2021-04-15,19.329999923706055
2021-04-16,19.200000762939453
2021-04-19,18.459999084472656
2021-04-20,17.610000610351562
2021-04-21,17.93000030517578
2021-04-22,18.5
2021-04-23,18.799999237060547
2021-04-26,18.520000457763672
2021-04-27,18.209999084472656
2021-04-28,18.899999618530273
2021-04-29,18.549999237060547
2021-04-30,18.18000030517578
2021-05-03,19.0
2021-05-04,18.489999771118164
2021-05-05,18.940000534057617
2021-05-06,18.899999618530273
2021-05-07,21.520000457763672
2021-05-10,21.1200008392334
2021-05-11,21.229999542236328
2021-05-12,21.1299991607666
2021-05-13,21.209999084472656
2021-05-14,21.360000610351562
2021-05-17,22.260000228881836
2021-05-18,22.209999084472656
2021-05-19,21.31999969482422
2021-05-20,21.600000381469727
2021-05-21,22.530000686645508
2021-05-24,22.729999542236328
2021-05-25,22.75
2021-05-26,24.700000762939453
2021-05-27,25.59000015258789
2021-05-28,25.540000915527344
2021-06-01,26.809999465942383
2021-06-02,26.989999771118164
2021-06-03,26.399999618530273
2021-06-04,24.989999771118164
2021-06-07,24.09000015258789
2021-06-08,24.139999389648438
2021-06-09,23.829999923706055
2021-06-10,24.510000228881836
2021-06-11,24.6299991607666
2021-06-14,23.809999465942383
2021-06-15,24.690000534057617
2021-06-16,23.59000015258789
2021-06-17,23.489999771118164
2021-06-18,23.219999313354492
2021-06-21,23.700000762939453
2021-06-22,24.170000076293945
2021-06-23,24.09000015258789
2021-06-24,24.739999771118164
2021-06-25,24.989999771118164
2021-06-28,23.239999771118164
2021-06-29,23.020000457763672
2021-06-30,23.479999542236328
2021-07-01,24.25
2021-07-02,24.010000228881836
2021-07-06,23.149999618530273
2021-07-07,22.6200008392334
2021-07-08,22.469999313354492
2021-07-09,23.979999542236328
2021-07-12,23.219999313354492
2021-07-13,22.959999084472656
2021-07-14,22.239999771118164
2021-07-15,22.34000015258789
2021-07-16,21.690000534057617
2021-07-19,21.1200008392334
2021-07-20,20.729999542236328
2021-07-21,21.1200008392334
2021-07-22,21.040000915527344
2021-07-23,21.079999923706055
2021-07-26,22.3799991607666
2021-07-27,21.90999984741211
2021-07-28,21.739999771118164
2021-07-29,21.829999923706055
2021-07-30,21.719999313354492
2021-08-02,21.06999969482422
2021-08-03,21.09000015258789
2021-08-04,19.43000030517578
2021-08-05,19.989999771118164
2021-08-06,19.559999465942383
2021-08-09,19.959999084472656
2021-08-10,20.280000686645508
2021-08-11,20.739999771118164
2021-08-12,20.56999969482422
2021-08-13,19.3799991607666
2021-08-16,19.170000076293945
2021-08-17,19.239999771118164
2021-08-18,19.239999771118164
2021-08-19,18.399999618530273
2021-08-20,18.610000610351562
2021-08-23,19.139999389648438
2021-08-24,19.579999923706055
2021-08-25,19.18000030517578
2021-08-26,19.200000762939453
2021-08-27,19.639999389648438
2021-08-30,19.600000381469727
2021-08-31,19.25
2021-09-01,19.709999084472656
2021-09-02,19.860000610351562
2021-09-03,19.639999389648438
2021-09-07,19.389999389648438
2021-09-08,19.3799991607666
2021-09-09,19.479999542236328
2021-09-10,19.700000762939453
2021-09-13,19.780000686645508
2021-09-14,19.229999542236328
2021-09-15,20.0
2021-09-16,19.540000915527344
2021-09-17,19.0
2021-09-20,19.6200008392334
2021-09-21,19.239999771118164
2021-09-22,19.739999771118164
2021-09-23,19.239999771118164
2021-09-24,19.260000228881836
2021-09-27,20.5
2021-09-28,21.25
2021-09-29,21.5
2021-09-30,22.540000915527344
2021-10-01,21.889999389648438
2021-10-04,21.90999984741211
2021-10-05,22.450000762939453
2021-10-06,21.799999237060547
2021-10-07,22.09000015258789
2021-10-08,22.200000762939453
2021-10-11,22.079999923706055
2021-10-12,22.059999465942383
2021-10-13,22.989999771118164
2021-10-14,23.43000030517578
2021-10-15,23.40999984741211
2021-10-18,23.56999969482422
2021-10-19,24.170000076293945
2021-10-20,24.600000381469727
2021-10-21,23.850000381469727
2021-10-22,23.440000534057617
2021-10-25,23.709999084472656
2021-10-26,23.1299991607666
2021-10-27,23.010000228881836
2021-10-28,22.700000762939453
2021-10-29,22.510000228881836
2021-11-01,22.940000534057617
2021-11-02,22.8700008392334
2021-11-03,22.90999984741211
2021-11-04,22.770000457763672
2021-11-05,22.34000015258789
2021-11-08,22.079999923706055
2021-11-09,21.420000076293945
2021-11-10,21.280000686645508
2021-11-11,20.610000610351562
2021-11-12,20.290000915527344
2021-11-15,20.170000076293945
2021-11-16,20.8799991607666
2021-11-17,20.520000457763672
2021-11-18,19.579999923706055
2021-11-19,19.34000015258789
2021-11-22,18.8700008392334
